year,female_parent,male_parent
2021,W10004_0914,PHZ51
2021,W10004_0779,PHZ51
2021,W10004_0076,PHZ51
2021,W10004_0689,PHZ51
2021,W10004_0951,PHZ51
2021,W10004_0819,PHZ51
2021,W10004_0922,PHZ51
2021,W10004_0336,PHZ51
2021,W10004_1002,PHZ51
2021,W10004_0194,PHZ51
2021,W10004_0661,PHZ51
2021,W10004_0885,PHZ51
2021,W10004_0685,PHZ51
2021,W10004_0781,PHZ51
2021,W10004_0027,PHZ51
2021,W10004_0055,PHZ51
2021,W10004_0792,PHZ51
2021,W10004_0646,PHZ51
2021,W10004_0830,PHZ51
2021,W10004_0150,PHZ51
2021,W10004_0682,PHZ51
2021,W10004_1156,PHZ51
2021,W10004_0178,PHZ51
2021,W10004_0396,PHZ51
2021,B37,MO17
2021,W10004_0768,PHZ51
2021,W10004_0132,PHZ51
2021,W10004_0262,PHZ51
2021,W10004_0073,PHZ51
2021,W10004_0014,PHZ51
2021,B73,MO17
2021,W10004_0362,PHZ51
2021,W10004_0080,PHZ51
2021,W10004_0292,PHZ51
2021,W10004_0997,PHZ51
2021,W10004_0964,PHZ51
2021,B14A,OH43
2021,W10004_0383,PHZ51
2021,W10004_0412,PHZ51
2021,W10004_0795,PHZ51
2021,B14A,H95
2021,W10004_0487,PHZ51
2021,W10004_0645,PHZ51
2021,W10004_0476,PHZ51
2021,LH195,TX779
2021,W10004_0837,PHZ51
2021,W10004_0616,PHZ51
2021,W10004_0329,PHZ51
2021,W10004_0160,PHZ51
2021,B73,MO17
2021,W10004_0430,PHZ51
2021,W10004_0167,PHZ51
2021,B73,TX779
2021,W10004_0982,PHZ51
2021,W10004_0802,PHZ51
2021,W10004_0619,PHZ51
2021,W10004_0658,PHZ51
2021,W10004_0046,PHZ51
2021,W10004_0745,PHZ51
2021,W10004_0747,PHZ51
2021,W10004_0801,PHZ51
2021,W10004_0702,PHZ51
2021,W10004_0041,PHZ51
2021,W10004_0669,PHZ51
2021,W10004_0614,PHZ51
2021,W10004_0806,PHZ51
2021,W10004_0620,PHZ51
2021,W10004_0783,PHZ51
2021,W10004_0270,PHZ51
2021,W10004_0775,PHZ51
2021,W10004_0891,PHZ51
2021,W10004_1117,PHZ51
2021,W10004_0047,PHZ51
2021,W10004_0241,PHZ51
2021,W10004_0031,PHZ51
2021,W10004_0119,PHZ51
2021,W10004_0465,PHZ51
2021,W10004_0152,PHZ51
2021,W10004_0199,PHZ51
2021,W10004_0346,PHZ51
2021,W10004_0879,PHZ51
2021,W10004_0310,PHZ51
2021,W10004_0427,PHZ51
2021,W10004_1004,PHZ51
2021,W10004_1112,PHZ51
2021,W10004_0649,PHZ51
2021,W10004_0774,PHZ51
2021,W10004_0757,PHZ51
2021,W10004_0754,PHZ51
2021,W10004_0756,PHZ51
2021,W10004_0206,PHZ51
2021,W10004_0220,PHZ51
2021,W10004_0631,PHZ51
2021,W10004_0078,PHZ51
2021,W10004_0782,PHZ51
2021,W10004_0705,PHZ51
2021,F42,H95
2021,W10004_0161,PHZ51
2021,W10004_0888,PHZ51
2021,W10004_0975,PHZ51
2021,W10004_0038,PHZ51
2021,W10004_0144,PHZ51
2021,W10004_0812,PHZ51
2021,W10004_0424,PHZ51
2021,W10004_0103,PHZ51
2021,W10004_0784,PHZ51
2021,W10004_0147,PHZ51
2021,W10004_0505,PHZ51
2021,W10004_0901,PHZ51
2021,W10004_0970,PHZ51
2021,W10004_0828,PHZ51
2021,W10004_0223,PHZ51
2021,W10004_0396,PHZ51
2021,W10004_0930,PHZ51
2021,W10004_0894,PHZ51
2021,W10004_0675,PHZ51
2021,W10004_0608,PHZ51
2021,W10004_0026,PHZ51
2021,W10004_0624,PHZ51
2021,W10004_1099,PHZ51
2021,2369,LH123HT
2021,W10004_0956,PHZ51
2021,REDEAR,LH195
2021,TX779,LH195
2021,W10004_1081,PHZ51
2021,W10004_1123,PHZ51
2021,B73,PHM49
2021,W10004_0253,PHZ51
2021,W10004_0713,PHZ51
2021,W10004_0204,PHZ51
2021,W10004_0896,PHZ51
2021,W10004_0618,PHZ51
2021,W10004_0847,PHZ51
2021,W10004_0632,PHZ51
2021,W10004_1007,PHZ51
2021,TX773,TX779
2021,B73,PHN82
2021,W10004_0393,PHZ51
2021,PHG39,PHN82
2021,W10004_0949,PHZ51
2021,W10004_0696,PHZ51
2021,W10004_0856,PHZ51
2021,W10004_0966,PHZ51
2021,LH74,PHN82
2021,W10004_0920,PHZ51
2021,B37,OH43
2021,W10004_0395,PHZ51
2021,W10004_0803,PHZ51
2021,W10004_0035,PHZ51
2021,W10004_1018,PHZ51
2021,W10004_0900,PHZ51
2021,W10004_0833,PHZ51
2021,W10004_0787,PHZ51
2021,W10004_0626,PHZ51
2021,W10004_0101,PHZ51
2021,W10004_0299,PHZ51
2021,B14A,MO17
2021,W10004_0840,PHZ51
2021,W10004_0974,PHZ51
2021,W10004_0403,PHZ51
2021,W10004_0097,PHZ51
2021,W10004_0612,PHZ51
2021,W10004_0932,PHZ51
2021,W10004_0664,PHZ51
2021,W10004_1146,PHZ51
2021,W10004_0474,PHZ51
2021,W10004_1143,PHZ51
2021,W10004_0807,PHZ51
2021,W10004_0389,PHZ51
2021,W10004_0969,PHZ51
2021,W10004_0008,PHZ51
2021,W10004_0869,PHZ51
2021,W10004_0070,PHZ51
2021,W10004_0868,PHZ51
2021,W10004_0409,PHZ51
2021,W10004_0876,PHZ51
2021,W10004_0256,PHZ51
2021,B37,H95
2021,W10004_0826,PHZ51
2021,W10004_0885,PHZ51
2021,W10004_1000,PHZ51
2021,W10004_0064,PHZ51
2021,W10004_0851,PHZ51
2021,W10004_0834,PHZ51
2021,W10004_0417,PHZ51
2021,W10004_0848,PHZ51
2021,W10004_0789,PHZ51
2021,W10004_0045,PHZ51
2021,W10004_0667,PHZ51
2021,W10004_0732,PHZ51
2021,W10004_0717,PHZ51
2021,W10004_0079,PHZ51
2021,W10004_0935,PHZ51
2021,W10004_0715,PHZ51
2021,PHW52,PHM49
2021,W10004_0799,PHZ51
2021,LH82,TX779
2021,W10004_0276,PHZ51
2021,W10004_0636,PHZ51
2021,PHW52,PHN82
2021,F42,OH43
2021,W10004_0889,PHZ51
2021,W10004_0704,PHZ51
2021,W10004_0061,PHZ51
2021,W10004_1032,PHZ51
2021,W10004_0659,PHZ51
2021,W10004_0800,PHZ51
2021,PB80,TX779
2021,TX714,TX779
2021,W10004_0822,PHZ51
2021,W10004_1105,PHZ51
2021,W10004_0290,PHZ51
2021,W10004_0221,PHZ51
2021,W10004_0953,PHZ51
2021,W10004_1002,PHZ51
2021,W10004_0306,PHZ51
2021,W10004_0771,PHZ51
2021,W10004_0149,PHZ51
2021,W10004_0196,PHZ51
2021,F42,MO17
2021,W10004_0309,PHZ51
2021,W10004_0914,PHZ51
2021,W10004_0714,PHZ51
2021,W10004_0006,PHZ51
2021,W10004_0680,PHZ51
2021,W10004_0637,PHZ51
2021,W10004_0852,PHZ51
2021,W10004_1063,PHZ51
2021,PHB47,PHN82
2021,W10004_0467,PHZ51
2021,W10004_0039,PHZ51
2021,W10004_0140,PHZ51
2021,W10004_0729,PHZ51
2021,W10004_1072,PHZ51
2021,W10004_0419,PHZ51
2021,W10004_0955,PHZ51
2021,W10004_0361,PHZ51
2021,W10004_0258,PHZ51
2021,W10004_0092,PHZ51
2021,W10004_0779,PHZ51
2021,W10004_0814,PHZ51
2021,W10004_0153,PHZ51
2021,W10004_0189,PHZ51
2021,W10004_0628,PHZ51
2021,W10004_0943,PHZ51
2021,W10004_0768,PHZ51
2021,W10004_1020,PHZ51
2021,W10004_0065,PHZ51
2021,CG119,CG108
2021,W10004_0116,PHZ51
2021,W10004_0013,PHZ51
2021,CG44,CGR01
2021,W10004_0678,PHZ51
2021,W10004_0059,PHZ51
2021,W10004_0940,PHZ51
2021,W10004_1015,PHZ51
2021,W10004_0798,PHZ51
2021,W10004_0913,PHZ51
2021,W10004_0203,PHZ51
2021,W10004_0037,PHZ51
2021,TX777,LH195
2021,W10004_0095,PHZ51
2021,W10004_0197,PHZ51
2021,W10004_0988,PHZ51
2021,W10004_0741,PHZ51
2021,W10004_0106,PHZ51
2021,W10004_0646,PHZ51
2021,W10004_0695,PHZ51
2021,B37,MO17
2021,W10004_0996,PHZ51
2021,W10004_0169,PHZ51
2021,W10004_0242,PHZ51
2021,W10004_1104,PHZ51
2021,W10004_0654,PHZ51
2021,W10004_0148,PHZ51
2021,W10004_1011,PHZ51
2021,W10004_0733,PHZ51
2021,W10004_0622,PHZ51
2021,W10004_0261,PHZ51
2021,W10004_0121,PHZ51
2021,W10004_0776,PHZ51
2021,W10004_0602,PHZ51
2021,W10004_0930,PHK76
2021,W10004_0774,PHK76
2021,W10004_0734,PHK76
2021,F42,MO17
2021,TX714,TX779
2021,TX779,LH195
2021,W10004_0059,PHK76
2021,B73,PHN82
2021,W10004_0078,PHK76
2021,W10004_0127,PHK76
2021,W10004_0071,PHK76
2021,W10004_0879,PHK76
2021,W10004_0498,PHK76
2021,W10004_0147,PHK76
2021,W10004_0807,PHK76
2021,PHB47,PHN82
2021,W10004_0754,PHK76
2021,W10004_0150,PHK76
2021,W10004_0622,PHK76
2021,W10004_0254,PHK76
2021,W10004_0644,PHK76
2021,W10004_0412,PHK76
2021,W10004_1117,PHK76
2021,W10004_0803,PHK76
2021,W10004_0614,PHK76
2021,B37,MO17
2021,W10004_1099,PHK76
